"time","db0","db1","db2","db3","db4","db5","db6","db7"
1358389792.99518,240,1,21,0,99,0,0,0
1358389793.04305,240,1,21,0,99,0,0,0
1358389793.13918,240,1,21,0,99,0,0,0
1358389793.18710,240,1,21,0,99,0,0,0
1358389793.23503,240,1,21,0,99,0,0,0
1358389793.28304,240,1,21,0,99,0,0,0
1358389793.37924,240,1,21,0,99,0,0,0
1358389793.42731,240,1,21,0,99,0,0,0
1358389793.47513,240,1,21,0,99,0,0,0
1358389793.52308,240,1,21,0,99,0,0,0
1358389793.61918,240,1,21,0,99,0,0,0
1358389793.66707,240,1,21,0,99,0,0,0
1358389793.71508,240,1,21,0,99,0,0,0
1358389793.76330,240,1,21,0,99,0,0,0
1358389793.85906,240,1,21,0,99,0,0,0
1358389793.90702,240,1,21,0,99,0,0,0
1358389793.95505,240,1,21,0,99,0,0,0
1358389794.00311,240,1,21,0,99,0,0,0
1358389794.09907,240,1,21,0,99,0,0,0
1358389794.14705,240,1,21,0,99,0,0,0
1358389794.19512,240,1,21,0,99,0,0,0
1358389794.33919,240,1,21,0,99,0,0,0
1358389794.38722,240,1,21,0,99,0,0,0
1358389794.43517,240,1,21,0,99,0,0,0
1358389794.48320,240,1,21,0,99,0,0,0
1358389794.81918,240,1,21,0,99,0,0,0
1358389795.20328,240,1,21,0,99,0,0,0
1358389795.34823,240,1,21,0,99,0,0,0
1358389795.69918,240,1,21,0,99,0,0,0
1358389795.84351,240,1,21,0,99,0,0,0
1358389795.93906,240,1,21,0,99,0,0,0
1358389796.08335,240,1,21,0,99,0,0,0
1358389796.17838,240,1,21,0,99,0,0,0
1358389796.22637,240,1,21,0,99,0,0,0
1358389796.32206,240,1,21,0,99,0,0,0
1358389796.41863,240,1,21,0,99,0,0,0
1358389796.46629,240,1,21,0,99,0,0,0
1358389796.56210,240,1,21,0,99,0,0,0
1358389796.61031,240,1,21,0,99,0,0,0
1358389796.65820,240,1,21,0,99,0,0,0
1358389796.70621,240,1,21,0,99,0,0,0
1358389796.80274,240,1,21,0,99,0,0,0
1358389796.85015,240,1,21,0,99,0,0,0
1358389796.94615,240,1,21,0,99,0,0,0
1358389797.04216,240,1,21,0,99,0,0,0
1358389797.09017,240,1,21,0,99,0,0,0
1358389797.13818,240,1,21,0,99,0,0,0
1358389797.33030,240,1,21,0,99,0,0,0
1358389797.37825,240,1,21,0,99,0,0,0
1358389797.52206,240,1,21,0,99,0,0,0
1358389797.61853,240,1,21,0,99,0,0,0
1358389797.76205,240,1,21,0,99,0,0,0
1358389797.85805,240,1,21,0,99,0,0,0
1358389797.90619,240,1,21,0,99,0,0,0
1358389798.00214,240,1,21,0,99,0,0,0
1358389798.05019,240,1,21,0,99,0,0,0
1358389798.09817,240,1,21,0,99,0,0,0
1358389798.14679,240,1,21,0,99,0,0,0
1358389798.24218,240,1,21,0,99,0,0,0
1358389798.29038,240,1,21,0,99,0,0,0
1358389798.38619,240,1,21,0,99,0,0,0
1358389798.48219,240,1,21,0,99,0,0,0
1358389798.53017,240,1,21,0,99,0,0,0
1358389798.62629,240,1,21,0,99,0,0,0
1358389798.67420,240,1,21,0,99,0,0,0
1358389798.77012,240,1,21,0,99,0,0,0
1358389798.81818,240,1,21,0,99,0,0,0
1358389798.86614,240,1,21,0,99,0,0,0
1358389798.91306,240,1,21,0,99,0,0,0
1358389798.96115,240,1,21,0,99,0,0,0
1358389799.00905,240,1,21,0,99,0,0,0
1358389799.05719,240,1,21,0,99,0,0,0
1358389799.10514,240,1,21,0,99,0,0,0
1358389799.15315,240,1,21,0,99,0,0,0
1358389799.20127,240,1,21,0,99,0,0,0
1358389799.24916,240,1,21,0,99,0,0,0
1358389799.29719,240,1,21,0,99,0,0,0
1358389799.34518,240,1,21,0,99,0,0,0
1358389799.39307,240,1,21,0,99,0,0,0
1358389799.44111,240,1,21,0,99,0,0,0
1358389799.53714,240,1,21,0,99,0,0,0
1358389799.58515,240,1,21,0,99,0,0,0
1358389799.63348,240,1,21,0,99,0,0,0
1358389799.68117,240,1,21,0,99,0,0,0
1358389799.72939,240,1,21,0,99,0,0,0
1358389799.77717,240,1,21,0,99,0,0,0
1358389799.82515,240,1,21,0,99,0,0,0
1358389799.87315,240,1,21,0,99,0,0,0
1358389799.92222,240,1,21,0,99,0,0,0
1358389799.96911,240,1,21,0,99,0,0,0
1358389800.01749,240,1,21,0,99,0,0,0
1358389800.06515,240,1,21,0,99,0,0,0
1358389800.11359,240,1,21,0,99,0,0,0
1358389800.16121,240,1,21,0,99,0,0,0
1358389800.20914,240,1,21,0,99,0,0,0
1358389800.25714,240,1,21,0,99,0,0,0
1358389800.30516,240,1,21,0,99,0,0,0
1358389800.35317,240,1,21,0,99,0,0,0
1358389800.44918,240,1,21,0,99,0,0,0
1358389800.49717,240,1,21,0,99,0,0,0
1358389800.54543,240,1,21,0,99,0,0,0
1358389800.59325,240,1,21,0,99,0,0,0
1358389800.64124,240,1,21,0,99,0,0,0
1358389800.88119,240,1,21,0,99,0,0,0
1358389801.02508,240,1,21,0,99,0,0,0
